state,locale,entry
California,Denver,"On May 28, protesters marched for four hours, blocking traffic on Interstate 25 and demonstrating at the Colorado State Capitol. Multiple gunshots were fired there, and police also fired rubber bullets and shot gas canisters at the crowd. Several properties were damaged. Some protesters also crowded onto 16th Street Mall and toward Interstate 25 via 20th Street and blocked traffic. One video appears to show a vehicle intentionally hitting a protester who had gotten onto the hood of the car. It is not clear what occurred before this—according to the woman who filmed the incident, the man jumped on top of the vehicle before she began filming. Three police officers were injured in clashes with protesters, one of whom had to go to a hospital. Protests continued throughout the city over the next three days, with protests generally being peaceful during the day followed by more violent clashes between protesters and police later in the evenings. On May 30, Mayor Michael Hancock implemented a citywide curfew from 8:00 p.m. to 5:00 a.m. By the evening of May 31, the Denver Police Department had arrested over 120 people during the protests over the past four days. On June 2, The Denver Police Department announced the arrest of a man suspected to be the perpetrator behind the vehicular attack of three police which left one officer with a fractured leg and the other two with a ""substantial risk of protracted loss or impairment of the function of any part or organ of the body.""A fifth night of protests in Denver remained more peaceful on Monday night, 1 June, after the previous four nights had seen riotous behavior among smaller elements of the much larger protest gathering."
California,Fort Collins,"About 100 protesters chanted ""No Justice, No Peace!"" the Fort Collins Police Services headquarters on May 28. On June 1, about 150 protesters gathered at the same place while about 10 people attended a vigil at Civic Center Park."
California,Glenwood Springs,"On June 1, dozens protested in front of Glenwood Springs City Hall at a rally organized by ""Western Slope Anti-Racist Action""."
Colorado,Aspen,"Dozens of residents attended a candle-light vigil on May 30. Participants repeated the words ""I can't breathe"" for nine minutes, the length of time that Derek Chavin's knee was on George Floyd's neck."
Colorado,Boulder,"About 50 people organized a modified sit-in style protest where demonstrators peacefully took a knee for one hour on May 29. Hundreds walked three miles through a ""Boulder in Solidarity"" march on May 30."
Colorado,Colorado Springs,About 300 protesters demonstrated by lying on their stomachs in front of City Hall on May 30. Dozens were arrested on May 30. More protests took place on May 31.
Colorado,Denver,"On May 28, protesters marched for four hours, blocking traffic on Interstate 25 and demonstrating at the Colorado State Capitol. Multiple gunshots were fired there, and police also fired rubber bullets and shot gas canisters at the crowd. Several properties were damaged. Some protesters also crowded onto 16th Street Mall and toward Interstate 25 via 20th Street and blocked traffic. One video appears to show a vehicle intentionally hitting a protester who had gotten onto the hood of the car. It is not clear what occurred before this—according to the woman who filmed the incident, the man jumped on top of the vehicle before she began filming. Three police officers were injured in clashes with protesters, one of whom had to go to a hospital. Protests continued throughout the city over the next three days, with protests generally being peaceful during the day followed by more violent clashes between protesters and police later in the evenings. On May 30, Mayor Michael Hancock implemented a citywide curfew from 8:00 p.m. to 5:00 a.m. By the evening of May 31, the Denver Police Department had arrested over 120 people during the protests over the past four days. On June 2, The Denver Police Department announced the arrest of a man suspected to be the perpetrator behind the vehicular attack of three police which left one officer with a fractured leg and the other two with a ""substantial risk of protracted loss or impairment of the function of any part or organ of the body.""A fifth night of protests in Denver remained more peaceful on Monday night, 1 June, after the previous four nights had seen riotous behavior among smaller elements of the much larger protest gathering."
Colorado,Fort Collins,"About 100 protesters chanted ""No Justice, No Peace!"" the Fort Collins Police Services headquarters on May 28. On June 1, about 150 protesters gathered at the same place while about 10 people attended a vigil at Civic Center Park."
Colorado,Glenwood Springs,"On June 1, dozens protested in front of Glenwood Springs City Hall at a rally organized by ""Western Slope Anti-Racist Action""."
Connecticut,Bridgeport,A section of Route 8 was shut down by protesters on May 30.
Connecticut,Greenwich,Several dozen protesters rallied near the Greenwich Police Department on June 1. The police chief and a selectman spoke to the crowd. Roads were closed and businesses were boarded up.
Connecticut,Hartford,"On May 29, hundreds of people protested in front of the Capitol. On May 30, 2020, more than 1,000 people participated Hartford, marching to the Hartford Police Department and Connecticut State Capitol."
Connecticut,Middletown,"A peaceful march across main street was attended by a few hundred people on Saturday night, May 30."
Connecticut,New Haven,"On May 31, roughly 1,000 protesters shut down a section of Interstate 95[when?]."
Connecticut,New London,Dozens of protesters gathered along Bank Street on May 30.
Connecticut,Stamford,"Hundreds gathered at the Stamford Police Headquarters on May 31 for an eight-minute ""kneel of silence."""
Connecticut,Waterbury,"A peaceful protest was held in two places, when the police told everyone to get back but, some didn't so 28 people were arrested across from the police station on East Main Street"
Connecticut,Westport,"On May 31, a hundred people rallied in downtown Westport."
Delaware,Dover,"On May 31, over 200 protesters gathered outside the Dover Police Department and Delaware Legislative Hall before marching north along U.S. Route 13, causing portions of the road to be closed. Looting took place at two stores at the Dover Mall before police secured the mall. The protesters then made their way to the Delaware State Police headquarters. Mayor Robin Christiansen declared a state of emergency and issued a curfew going into effect at 9pm on Sunday night."
Delaware,Rehoboth Beach,"About 30 protesters gathered at the Rehoboth Beach Bandstand on June 1. The protesters then marched to Rehoboth City Hall, with the crowd growing to 50 protesters."
Delaware,Wilmington,"On May 30, hundreds of protesters peacefully marched and blocked part of Interstate 95 for several hours. The protests were led by Black Lives Matter and Food Not Bombs. On the evening of May 30, several businesses in downtown were looted including a jewelry store, sporting goods store and local restaurants. Many businesses spared had ""black owned"" signs. A police vehicle and personal vehicles of local residents were smashed including in the Trolley Square neighborhood. On May 31, Joe Biden and Rep. Lisa Blunt Rochester toured the areas damaged in the protest and spoke with residents."
District of Columbia,Washington,"Protesters gathered around the White House[when?], which went under lockdown. President Trump was escorted to hide in an underground bunker, where he stayed for almost an hour. Trump reacted by threatening protesters with ""the most vicious dogs, and most ominous weapons"" if they crossed the White House fence. Rubber bullets, pepper spray, smoke canisters, and stun grenades were used; monuments defaced; businesses looted; streets closed; fences erected; and arrests made. Also, President Trump used tear gas and rubber bullets to clear peaceful protesters from Lafayette Square for a photo op. In addition, millions fell for a hoax claiming that communication channels had been severed in the area."
Florida,Fort Lauderdale,"Florida police officer, Steven Pohorence, was fired after a video, released on May 31, showed him pushing a black woman who was kneeling as a form of peaceful protest."
Florida,Fort Walton Beach,"A group of protesters held a vigil on Sunday, May 31, listening to speeches and prayers. Another protest involved about 200 people walking along Eglin Parkway, escorted by Fort Walton Beach police cars."
Florida,Gainesville,"On May 30, roughly 1000 people gathered in a peaceful march downtown.[when?] Later on May 30, William Connelly drove through a crowd of protesters and pulled out a gun. The man was arrested and charged with aggravated assault."
Florida,Jacksonville,"On Saturday afternoon, May 30, about 1200 people protested downtown from about 3 to 6 p.m., with organizers emphasizing keeping the protest peaceful. However, after most of the crowd had left, a smaller contingent of about 200 people became violent, vandalizing police cars, assaulting officers, and slashing the neck of one officer, who was transported to a hospital. A demonstration was also held in front of the Jacksonville Sheriff's Office."
Florida,Orlando,"On May 30, a large crowd of people protested peacefully."
Florida,Panama City,"On Saturday, May 30, a small crowd of protesters stood on the sidewalk at the east end of the Hathaway Bridge, holding up signs and receiving honks of acknowledgement from passing motorists."
Florida,Pensacola,"On Friday and Saturday, May 29 and 30, about 400 people demonstrated peacefully at the so-called Graffiti Bridge, a railroad trestle near the shore of Pensacola Bay. On Saturday, a caravan of friends, family, and supporters drove through town to honor the memory of Tymar Crawford, a black man killed in a scuffle with Pensacola police in July 2019."
Florida,St. Petersburg,Hundreds of people protested peacefully as they marched from City Hall to police headquarters.[when?]
Florida,Tallahassee,"Hundreds of protesters marched from Florida State University to the Old Capitol Building on May 30 before a truck drove through a group of people protesting downtown. ""No one was seriously injured,"" according to Mayor John E. Dailey; police quickly pulled the driver from the truck and took him into custody. Demonstrations also occurred at Tallahassee Police headquarters and the Governor's Mansion."
Florida,Tampa,"Hundreds of people protested peacefully downtown,[when?] but around dusk some people began looting multiple stores on E Fowler Avenue. Others set fire to a Mobil gas station on 3003 East Busch Boulevard, but firefighters were able to quickly get the fire under control inside the store and on the roof by 9 p.m. Deputies deployed canisters of tear gas in an effort to prevent protesters from getting into the University Mall. Multiple people were arrested. Protesters threw rocks and objects at the deputies; one deputy was sent to the hospital after being hit in the head with an object by a protester near the University Mall. Around 12:40 PM a Champs store was set on fire by protesters near the University Mall. Another deputy was also injured."
Florida,Temple Terrace,"Hundreds of people protested while traversing the city, blocking traffic at points.[when?] Protesters stated that rubber bullets were used."
Florida,Windermere,More than 200 protesters gathered outside Derek Chauvin's summer home on May 30.
Georgia,Albany,"On Saturday, May 30, about 40 or 50 protesters peaceably demonstrated with signs and chants, lining up along Slappey Boulevard on a vacant lot where they were joined by local officials and supplied with bottled water by Albany police."
Georgia,Athens,"Protesters blocked Broad Street starting around lunchtime on May 29 at the University of Georgia. On May 31, several hundred protesters marched through downtown for several hours ending at the Arch. By midnight, a group of 100 would not leave so police used tear gas to disperse it."
Georgia,Atlanta,"A peaceful march occurred on May 29 at Centennial Olympic Park and was attended by hundreds. At around 6:00 p.m., protesters marched to the CNN Center, which was then vandalized by protesters starting at around 7:00 p.m. Specifically, some protesters vandalized the CNN logo outside its offices, broke the building's glass, and entered the center at around 9:00 p.m. and destroyed its interior. As tensions between protesters and police escalated, police began using tear gas on protesters. Protesters threw water bottles, eggs, and other objects at officers, burned police cars, and defaced businesses. The College Football Hall of Fame's gift shop was looted; Hall of Fame CEO Kimberly Beaudin told ESPN that ""no artifacts or displays were damaged."" Three officers were injured in the clashes, including one who was run over by an ATV. At midnight, Governor Brian Kemp declared a state of emergency in Fulton County and authorized 500 National Guard members to aid law enforcement in the city. Local black leaders, including Mayor Keisha Lance Bottoms and rapper and activist Killer Mike, decried the riots. As of Saturday at 5:30, 71 arrests had been made in Atlanta, and one demonstrator was reported shot. Two police officers were fired after they tased two college students."
Georgia,Augusta,"On May 30, about 60 people marched on Wrightsboro Road. The event was organized on Facebook. On May 31, hundreds of demonstrators marched down Washington Road chanting and holding signs. Richmond County Sheriff Richard Roundtree spoke and deputies marched with the group."
Georgia,Cartersville,"About 200 protesters demonstrated peacefully on the steps of the Bartow County Courthouse for an hour on Saturday, May 30. Some stayed afterwards to pick up litter from the courthouse grounds."
Georgia,Columbus,"Over 200 protesters walked peacefully along Broadway through downtown Columbus on Sunday afternoon, May 31, with a police escort under the supervision of the mayor and the county sheriff. After the march ended about 3 p.m., some protesters regrouped and walked up 13th Street, blocking traffic; 22 of them were arrested for failing to disperse, a misdemeanor."
Georgia,Dalton,"On Monday, June 1, several dozen demonstrators marched peacefully, escorted by city police, from Harmon Field to the Whitfield County Courthouse and then to City Hall."
Georgia,Macon,"Hundreds gathered on Sunday, May 31, in Rosa Parks Square downtown for an ""Ecumenical Day of Solidarity"" organized by local clergy to honor the memories of George Floyd, Ahmaud Arbery, and Breonna Taylor with songs, chants, and prayers. The event was attended by Bibb County Sheriff David Davis and two of his deputies."
Georgia,Newnan,Dozens of protesters gathered for a peaceful rally at the Coweta County Courthouse on the evening of May 30.
Georgia,Rome,"A group of about 15 demonstrators protested peacefully at the Rome City Hall on Sunday afternoon, May 31."
Georgia,Savannah,"Hundreds of protesters began a march from City Hall on May 31. Some group members went to Martin Luther King Boulevard, while others went to City Market."
Georgia,Thomasville,"Nearly 100 protesters, escorted by city police, marched peacefully from the Farmer's Market to Remington Park on Sunday afternoon, May 31, chanting and waving signs, and receiving honks of support from passing motorists."
Georgia,Valdosta,"About 50 protesters assembled on the grounds of the Lowndes County Courthouse on the afternoon of May 30 for a peaceful demonstration, and were acknowledged by passing motorists with honks of support."
Georgia,Warner Robins,"On May 30, dozens of protesters marched two miles through the city to start a conversation about police brutality."
Guam,Tamuning,About 100 people protested peacefully at the ITC intersection.
Hawaii,Hilo,About 20[original research?] people protested peacefully at the intersection of Kamehameha Avenue and Bishop Street[when?].
Hawaii,Honolulu,"On May 30, more than 100 protesters gathered in front of the State Capitol."
Hawaii,Kahului,Over 150 people protested peacefully on May 30 at the intersection of Hana and Haleakala Highways.
Hawaii,Kailua-Kona,"At least 10[original research?] people protested on May 29. Approximately 200 people showed up on Sunday, May 31 at 2:00pm with signs to ""Stand In Solidarity for George Floyd"" over the course of three hours. The entire event was peaceful with no incidents of violence, just Aloha. The local police showed up, gave no citations and made no arrests, though they did remind protesters to back up as they were obstructing the bike lanes which run adjacent to the highway. Once access to the bike lanes were restored, the police exited the area."
Idaho,Boise,"A handful of people protested in front of the Idaho State Capitol on May 30. Hundreds more gathered on the same steps on May 31. On Monday night, June 1, 100 to 150 protesters gathered at the Capitol again; two opposing groups were present, according to one report.  A single gunshot was fired during the protest; Boise Police subsequently arrested an 18-year-old man and said the incident was being investigated as accidental or unintentional."
Idaho,Idaho Falls,About 70 people protested on the Broadway Bridge on May 30.
Illinois,Bloomington,"On May 29, a group of around 10 to 15 protesters gathered during the evening and demonstrated at the median of the intersection of Veterans Parkway and Clearwater Avenue. Protesters stated that the event initially consisted of a small group of people, but others eventually joined the demonstration."
Illinois,Blue Island,"After reports of looting and protests, authorities announced a citywide curfew on the night of May 31."
Illinois,This section reads like a press release or a news article.  (June 2020)Aurora,"The state's second largest city and a western suburb of Chicago, Aurora erupted into chaos on the night of May 31, as rioters looted shops and set a series of fires throughout the suburb's downtown area, already financially debilitated by the COVID-19 lockdown. Police responded by firing tear gas and shooting rubber bullets at the crowd, which reached about 500 people in size at its height. The demonstrators, in turn, hurled pieces of concrete and other items at officers. Besides plundering local businesses, the crowds set fire to 3 police vehicles, a bank drive-thru, and a Family Dollar location. A gas tank on one squad car exploded, and flames consumed the entire vehicle."
Indiana,Anderson,"More than 100 people attended a march through downtown and congregated at the Anderson Police Department headquarters on May 30. After midnight, a car window was broken and water bottles were thrown at police, but no injuries were reported."
Indiana,Carmel,Hundreds of protesters attended a peaceful march downtown on June 1.
Indiana,Evansville,"On May 30, a rally being held downtown gathered a crowd of 300. The rally was mostly peaceful, but four protesters were arrested in the evening."
Indiana,Fort Wayne,"Hundreds gathered outside the Allen County Courthouse in a peaceful demonstration that turned violent after police fired off tear gas in response to protesters blocking traffic by sitting in the road at Clinton and Main Street, refusing to move. Some establishments were vandalized."
Indiana,Hammond,"Several hundred people attended a rally organized by ""Black Lives Matter-Gary"" outside the Hammond Police Station on May 30."
Indiana,Indianapolis,"Protesters and police clashed downtown. Some protesters broke windows of businesses. Several officers were injured. Tear gas and rubber bullets were used to disperse crowds. During the night of May 30, three people were killed and two more injured in several shootings."
Indiana,South Bend,"Hundreds protested at two peaceful marches downtown on May 30. Police barriers were broken and insults were hurled at police, but the marches remained peaceful. Ideas for change were discussed."
Iowa,Ames,Roughly 300 people gathered to march around Ames' City Hall[when?].
Iowa,Cedar Rapids,"Protestors gathered at the Linn County Courthouse on May 29, 2020."
Iowa,Davenport,"More than 500 people in LaClaire Park on May 30, 2020, to protest. Rocks were thrown during part of the protest. Two people were killed and another two injured in riots related to the protests which broke out on the 31st."
Iowa,Decorah,About 200 people gathered on Water Street on the afternoon of May 31 to protest.
Iowa,Des Moines,"Hundreds of protesters clashed with police outside of the city's police headquarters on May 29. Some protesters threw bottles, rocks, bricks, and fire crackers at officers and windows were smashed at nearby buildings in the city's East Village neighorhood. Tear gas and pepper spray were used. A protest and march on May 30 spilled to Iowa State Capitol steps and the city's Court Avenue entertainment district, where windows were broken at the Polk County Courthouse and several businesses were vandalized."
Iowa,Dubuque,About 100 protesters lay on the ground to honor George Floyd in Jackson Park on June 1. Speakers included the President of the Dubuque chapter of the NAACP and a woman who sued the city for injuring her with a Taser in 2019.
Iowa,Iowa City,Hundreds protested at the Pentacrest on the University of Iowa campus[when?]. Streets were blocked to allow protesters to maintain social distance due to the COVID-19 pandemic.
Iowa,Sioux City,"On May 29, about 100 protesters marched to the Sioux City Police/Fire Headquarters building."
Iowa,Watferloo,Approximately 500 people marched on May 29.
Kansas,Fort Scott,"On May 31, several people protested at the intersection of National Avenue and U.S. Highway 69, and the following day a larger protest was held on the front steps of Memorial Hall."
Kansas,Kansas City,"On May 30 and 31 protests took place in Kansas City, Kansas as well as nearby Kansas City, Missouri."
Kansas,Lawrence,"On May 31, several hundreds of people peacefully marched down Massachusetts Street."
Kansas,Topeka,About 500 people peacefully protested in front of the Kansas State Capitol[when?].
Kansas,Wichita,"On May 30, nearly two thousand peaceful protesters marched around parts of Wichita before dispersing by the end of the day."
Kentucky,Bowling Green,"People protested outside the Bowling Green Police Department[when?]. During the protest, a 24-year-old man hit a protester with his pickup truck and was arrested; police stated that he ""had plenty of room... to avoid hitting protesters,"" and that when they asked if his vehicle had hit the protester, the man replied, ""Probably so, there were protesters blocking the fucking road, they deserved to be hit, anyone would."" He was arrested, charged with wanton endangerment in the first degree (a felony in Kentucky), and taken to Warren County Regional Jail."
Kentucky,Covington,"Dozens attended an ""uneventful"" protest happened on May 31. City officials enacted a curfew."
Kentucky,Lexington,"On May 31, several hundred protesters gathered downtown for the third night in a row. At one point late Sunday, dozens of officers ""took a knee"" with protesters who were chanting ""Kneel with us! Kneel with us!"""
Kentucky,Louisville,"On May 28, protesters demanded justice for the fatal shooting of Breonna Taylor. Some 500 to 600 demonstrators marched through the city that evening. Later during the protest, seven people were shot by an unknown shooter or shooters, with one victim critically injured. During the night of May 29, more protests took place, attended by hundreds of people. A woman suffered a heart attack as a result of tear gas inhalation,[failed verification] and two journalists were injured by rubber bullets fired by police officers. On May 30, the governor called in the National Guard. African-American David McAtee was shot and killed by law enforcement just after midnight June 1. Officials said that the Louisville Metro Police Department and Kentucky National Guard were returning fire after being fired at from the crowd. Mayor Greg Fischer stated that Louisville police officers were wearing body cameras, but none of them were on. Fischer called this an ""institutional failure"",[a] stating that ""[t]his is the entire reason we have those cameras"", and fired Steve Conrad, chief of police, effective immediately."
Louisiana,Alexandria,"Dozens of protesters walked peacefully through downtown Alexandria on Sunday afternoon, May 31, chanting for ""justice, peace, and equality."""
Louisiana,Baton Rouge,"A vigil was held at a church on May 30, while hundreds marched to the Louisiana State Capitol building on May 31. Additional protests took place on Siegen Lane on the evenings of May 31 and June 1."
Louisiana,Lafayette,"Several hundred people peacefully protested on Sunday, May 31, at a rally held at the corner of University Avenue and Johnston Street by the campus of the University of Louisiana at Lafayette. After listening to speeches in Girard Hall, the crowd lined the sidewalks for a demonstration before marching to the Lafayette police station at the end of University Avenue."
Louisiana,Lake Charles,"About 300 people attended a peaceful protest rally on Sunday, May 31, at the corner of Broad Street and Enterprise Boulevard."
Louisiana,Monroe,"Hundreds of people gathered peacefully on Sunday, May 31, for a rally at the Monroe Civic Center, organized by the local NAACP chapter. After hearing some speeches, about half of the attendees left on an unplanned march through the downtown area and in front of the Ouachita Parish Courthouse."
Louisiana,New Iberia,"A small, peaceful protest took place on the evening of May 30 at the corner of Lombard and Hopkins Streets."
Louisiana,New Orleans,"On Friday, May 29, about 50 people protested at the intersection of North Claiborne and Esplanade Avenues; the demonstration continued for several hours. On Saturday, three separate demonstrations took place: the first at the same North Claiborne and Esplanade Avenues location, the second one at noon which had over 1,000 people peacefully protest and march to the police headquarters, and the third and final occurred at Duncan Plaza with equal numbers to the noon really. On Sunday, around 100 gathered to pray and stand in solidarity."
Louisiana,Shreveport,"On Sunday, May 31, 300 to 500 people marched from the Shreveport Police Department headquarters to the Caddo Parish District Courthouse, where they listened to several speakers before marching back to the starting place. The protest was peaceful, and Shreveport police escorted the marchers on their route, closing off side streets as the marchers passed by."
Maine,Bangor,"On May 31, a group gathered at the University of Maine to promote a message of racial equality."
Maine,Belfast,"On May 31, around 200 people gathered at Post Office Square, protesters peacefully gathered. A man tried to drive his car into the group of protesters, however there were no injuries reported."
Maine,Portland,"On May 29, hundreds of people protested peacefully downtown. One group blocked Franklin Street. There was no evidence of violence and no arrests were made."
Maryland,Amherst,"More than sixty people peacefully gathered across from the police station on Saturday, May 30."
Maryland,Boston,"A group of several hundred protesters gathered in Peters Park on Thursday, May 28, in what began as a peaceful demonstration, but escalated into a clash with police after several dozen protesters crowded around the nearby Precinct 4 police station. Several protesters were pepper sprayed. The following day, a second large group of protestors clashed with city police, injuring four officers and resulting in ten arrests. On Sunday, May 31, three large protests were held in the city, with the total number of protesters being in the thousands. Though all three began peacefully, violence broke out by nightfall, with protesters throwing bottles, rocks, and bricks while police used pepper spray and batons. Many stores were looted and damaged, twenty-one police cruisers were burned or damaged, seven officers were hospitalized (with more being treated for injuries in the streets), and over forty arrests were made. On June 2, it was reported that the damage to local Boston businesses which were looted during the May 31 protests was ""destructive."""
Maryland,Brockton,"On the evening of June 2nd, hundreds of protesters gathered throughout the city. The protest began as a ""peace rally"" outside of the middle school, but protesters clashed with police outside of the city police's headquarters by nightfall. Protesters threw water bottles and fireworks, while police deployed tear gas. Both Massachusetts State Police and National Guard forces were deployed to aid the city police, and the confrontation resulted in the MBTA commuter rail not stopping at the Brockton station."
Maryland,Cape Cod,About one-hundred people rallied at the Hyannis Village Green on May 30. Vigils were held outside the West Barnstable train station on May 30 and at the Falmouth Village Green on May 31.
Maryland,Fall River,"Organizers held a ""peace walk"" on Sunday, May 31, marching throughout the city before ending at Government Center. The walk remained peaceful the whole time. However, an unaffiliated person did vandalize the WLNE-TV news van with the expression RIP George."
Maryland,Framingham,"On Thursday, May 28, a group of about thirty protesters peacefully gathered and crowded along sidewalks in the city."
Maryland,New Bedford,"A group of about twenty-five people began peacefully marching around the city in the early afternoon on Saturday, May 30. The crowd gradually grew to a size of almost one hundred protesters, until one of the leaders asked the crowd to disperse at around 9:30 pm and begin again the next day. A second, smaller crowd gathered and resumed protesting the following morning."
Maryland,Newton,"Dozens of people peacefully protested at the lawn of Newton City Hall. Mayor of Newton Ruthanne Fuller, School Committee Chairwoman Ruth Goldman, and City Council President Susan Albright were also in attendance."
Maryland,Oaks Bluff,"On May 31, scores of people protested at Waban Park on Martha's Vineyard. The mother of Danroy Henry who was shot by Pleasantville police in 2010 said ""nothing has changed"" since then."
Maryland,Springfield,"Several hundred people peacefully protested outside of the city police's headquarters on Friday, May 29."
Maryland,Worcester,"On June 1, thousands of people peacefully participated in a march from the City Hall commons area to the courthouse. Hours later, a group of protesters in the Main South neighborhood met a police barricade, which led to the crowd being dispersed into two directions. A group that continued down main street were said to have set off fireworks and thrown rocks at officers, leading to tear gas and rubber bullets being fired into a crowd of about 70 people. Multiple people were taking into custody and at least one business was reported looted."
Massachusetts,Amherst,"More than sixty people peacefully gathered across from the police station on Saturday, May 30."
